Target,Clues
alpaca,south america camel llama wool
amazon duck,south america donald duck bird chicken
anemonefish,shark sea coral
anteater,forest tongue long
antelope,hop safari lion
arctic wolf,dog howl moon ice
asian elephant,dumbo africa asia trunk
badger,forest marten carnivore predator
bahama duck,caribbean bird donald duck chicken
bar head goose,zebra fox bird swan
bat,ultrasonic vampire night fly
bear,grizzly teddy ted honey pooh
bengal tiger,king strip lion
bison,cattle bison steppe america
bonobo,monkey chimpanzee baboon primate
brewer duck,donald duck bird water swan
butterfly,wing flower colorful meadow
cat,pet dog meow scratch claw
cheetah,fast mp h lion africa savannah
chicken goose,fox bird swan egg
chicken,fox bird swan egg
chihuahua,paris hilton dog small foot horn
chimpanzee,monkey human intelligent primate orangutan
chinchilla,small mouse rat america
coati,tree climb america
cow,stable milk udder milk straw
crocodile,water alligator
dog,shepherd friend pet bark cat
dolphin,whale sea intelligent porpoise
dwarf donkey,eeyore horse stupid stubborn
dwarf otter,marten dam wood water
dwarf penguin,south pole arctic black white
eagle owl,glue cautz owl harry potter
electric eel,fish water river long electricity
elephant,africa india trunk grey huge mouse
emperor penguin,south pole arctic yellow black white
emu,bird ostrich australia
ferret,marten car cable lltis
ferruginous duck,chicken swamp
fish,water swim gill whale salmon fishing
flamingo,pink bird
fox,red fur city goose
frog,croak water toad
giraffe,neck long elephant savannah africa
goat,milk stable mountain horn
gorilla,monkey chimpanzee gray roar chest
grey goose,fox bird swan
grey parrot,colorful bird
grizzly,brown kodiak predator north america
guinea pig,mouse pet small squeak
hedgehog,spine small city
hippopotamus,hippopotamus water giant rhino
horse,rid saddle cow trot race
house donkey,eeyore horse stupid stubborn gray
hyena,africa savannah sneaky
ice fox,white summer
jaguar,car brand cheetah lion savannah africa
jellyfish,transparent water sea nettle
kangaroo,hop box australia pouch
king python,snake big snare
koala,australia eucalyptus tree
leopard,cheetah cat predator
lion,king tiger cheetah africa savannah
llama,spit south america guanaco
maine coon,cat fur fluff claw meow
mandrill,primate monkey butt gorilla
meerkat,burrow ground dig stand
mouse,rodent rat small
musk ox,scent perfume cattle bull
orangutan,orange monkey primate chimpanzee
otter,water dam wood
ox,cow bull ring nose
panda,black white clumsy china bear
parrot,colorful red bird beak
penguin,south pole arctic yellow black white
polar bear,grizzly teddy white north pole pooh
rabbit,pet bunny lout
raccoon,teddy grizzly garbage
red fox,fur city goose
reindeer,santa claus rudolf nose red deer
rhino,hippopotamus elephant africa savannah
rock pigeon,fly rat rock gray coo
royal tiger,lion big cat
seahorse,water sea small saddle
seal,trick balance water sea cat
shark,water teeth surfer tornado
sheepdog,police friend pet bark cat
snail,slime house small slow
snow leopard,white mountain cheetah
snowy owl,white eagle owl head bird
spectacled bear,fielmann grizzly america
spectacled penguin,arctic south pole
spider,web fly legs cellar
squirrel,forest tree nut hibernate brown
stone chicken,fox bird swan egg gray
sturgeon catfish,fish gill
tank rhinoceros,hippopotamus elephant africa savannah war
toad,frog croak
walrus,water horse sea tusk
wasp,bee honey sting black yellow
white rhino,mouth high africa savannah
wild dog,shepherd cat forest
wolf,wild dog howl moon pack
yak,cow horn asia cow
zebra,strip elephant giraffe black white africa
alfa romeo,italy turin fiat
bmw alpina,germany tune motorsport bavaria
aston martin,james bond england sport car luxury
audi,germany ingolstadt ring volkswagen
bentley,luxury england roll royce
bmw,germany mercedes benz
bugatti,luxury sport car volkswagen france
buick,america united state general motor
cadillac,america united state general motor
chevrolet,america united state general motor camaro transformer
chrysler,america united state dodge
citro n,france peugeot small car
corvette,america united state sport car
dacia,romania small car cheap duster
daewoo,south korea small car general motor
daf,truck big rig netherlands cargo
daihatsu,japan toyota small car
de lorean,time machine gmc back future marty mcfly
de tomaso,italy sport car
dodge,viper america united state general motor
ferrari,italy red sport car luxury michael schumacher enzo
fiat,turin italy
ford,america united state henry f assembly line
gaz,russia soviet union
gmc,general motor unite state multicorporate enterprise
holden,australia general motor
honda,japan mitsubishi civic
hummer,army united state america
hyundai,south korea
infiniti,nissan japan luxury
isuzu,japan truck big rig cargo
iveco,italy truck big rig cargo
jaguar,england land rover luxury sport car
jeep,chrysler army america united state
kia,south korea hyundai
k nigsegg,sweden luxury sport car
lada,russia small car
lamborghini,italy sport car luxury volkswagen
lancia,italy small car fiat
land rover,england scotland jaguar jeep awd
lexus,toyota luxury japan
lincoln,america united state ford luxury
lotus,england sport car
maserati,italy fiat sport car luxury
maybach,germany mercedes luxury
mazda,japan hiroshima
mclaren,england luxury sport car luxury
mercedes amg,germany luxury tune
mercedes benz,germany daimler chrysler
mg,england
mini,germany england bmw small mr bean
mitsubishi,japan lancer rally
morgan,sport car england
moskwitsch,russia sowjet ddr
nissan,japan skyline datsun
oldsmobile,america united state general motor
opel,germany r sselsheim vauxhall
pagani,italy sport car luxury expensive
peugeot,france bicycle motorcycle
piaggio,italy motorcycle mop vespa
plymouth,united state chrysler
polaris,america united state quad snow mobile
pontiac,general motor unite state america
porsche,germany stuttgart volkswagen
renault,france small car nissan
roll royce,england queen luxury limousine
rover,england tata small car bwm
saab,sweden scania stockholm
seat,spanien small car volkswagen
scania,sweden truck big rig cargo
skoda,tschechien volkswagen small car
smart,germany small parking space mercedes daimler
subaru,japan impereza rally
suzuki,japan motorbike honda
tesla,elon musk united state electric sexy
toyota,multicorporate enterprise japan yaris avensis
trabant,trabbi ddr veb germany zwickau
triumph,england motorr der
tvr,england sport car
uaz,russia soviet union truck big rig cargo
vauxhall,opel england
volvo,sweden truck big rig ford cargo
volkswagen,germany golf passat audi wolfsburg multicorporate enterprise
wartburg,lada ddr russia trabbi germany
afghanistan,asia southern asia kabul
land island,europe northern europe mariehamn
albania,europe southern europe tirana
algeria,africa northern africa algiers
american samoa,oceania polynesia pago pago
andorra,europe southern europe andorra la vella
angola,africa middle africa luanda
anguilla,americas caribbean valley
antarctica,polar
antigua barbuda,americas caribbean saint john
argentina,america south america buenos aire
armenia,asia western asia yerevan
aruba,americas caribbean oranjestad
australia,oceania australia new zealand canberra
austria,europe western europe vienna
azerbaijan,asia western asia baku
bahamas,americas caribbean nassau
bahrain,asia western asia manama
bangladesh,asia southern asia dhaka
barbados,americas caribbean bridgetown
belarus,europe eastern europe minsk
belgium,europe western europe brussels
belize,americas central america belmopan
benin,africa western africa porto novo
bermuda,america northern america hamilton
bhutan,asia southern asia thimphu
bolivia plurinational state,america south america sucre
bonaire sint eustatius saba,americas caribbean kralendijk
bosnia herzegovina,europe southern europe sarajevo
botswana,africa southern africa gaborone
bouvet island,
brazil,america south america bra lia
british indian ocean territory,africa eastern africa diego garcia
united state minor outlying island,america northern america
virgin island british,americas caribbean road town
virgin island u,americas caribbean charlotte amalie
brunei darussalam,asia south eastern asia bandar seri begawan
bulgaria,europe eastern europe sofia
burkina faso,africa western africa ouagadougou
burundi,africa eastern africa bujumbura
cambodia,asia south eastern asia phnom penh
cameroon,africa middle africa yaound
canada,america northern america ottawa
cabo verde,africa western africa praia
cayman island,americas caribbean george town
central african republic,africa middle africa bangui
chad,africa middle africa n djamena
chile,america south america santiago
china,asia eastern asia beijing hong kong
christmas island,oceania australia new zealand fly fish cove
coco keel island,oceania australia new zealand west island
colombia,america south america bogot
comoros,africa eastern africa moroni
congo,africa middle africa brazzaville
congo democratic republic,africa middle africa kinshasa
cook island,oceania polynesia avarua
costa rica,americas central america san jos
croatia,europe southern europe zagreb
cuba,americas caribbean havana
cura ao,americas caribbean willemstad
cyprus,europe southern europe nicosia
czech republic,europe eastern europe prague
denmark,europe northern europe copenhagen lego
djibouti,africa eastern africa djibouti
dominica,americas caribbean roseau
dominican republic,americas caribbean santo domingo
ecuador,america south america quito
egypt,africa northern africa cairo
el salvador,americas central america san salvador
equatorial guinea,africa middle africa malabo
eritrea,africa eastern africa asmara
estonia,europe northern europe tallinn
ethiopia,africa eastern africa addis ababa
falkland island malvinas,america south america stanley
faroe island,europe northern europe rshavn
fiji,oceania melanesia suva
finland,europe northern europe helsinki
france,europe western europe paris eiffel tower
french guiana,america south america cayenne
french polynesia,oceania polynesia papeet
french southern territory,africa southern africa port aux fran ai
gabon,africa middle africa libreville
gambia,africa western africa banjul
georgia,asia western asia tbilisi
germany,europe western europe berlin munich hamburg
ghana,africa western africa accra
gibraltar,europe southern europe gibraltar
greece,europe southern europe athens
greenland,america northern america nuuk
grenada,americas caribbean st george
guadeloupe,americas caribbean basse terre
